St_Num,St_Dir,St_Name,St_Type,St_Addr,City,Zip,X,Y,Address,Price,Neighborhood
9912,NW,Wind Ridge,Dr,9912 NW Wind Ridge Dr,Portland,97229,-122.77850705,45.55781677,"9912 NW Wind Ridge Dr, Portland, OR 97229",7778500,FOREST PARK
5837,NW,Skyline,Blvd,5837 NW Skyline Blvd,Portland,97229,-122.79301898,45.56463402,"5837 NW Skyline Blvd, Portland, OR 97229",3490000,FOREST PARK
14125,NW,Germantown,Rd,14125 NW Germantown Rd,Portland,97231,-122.82340572,45.58595347,"14125 NW Germantown Rd, Portland, OR 97231",5000000,FOREST PARK
12319,NW,Sargent,Ln,12319 NW Sargent Ln,Portland,97231,-122.80437486,45.58641410,"12319 NW Sargent Ln, Portland, OR 97231",1190000,FOREST PARK
9430,NW,Kaiser,Rd,9430 NW Kaiser Rd,Portland,97231,-122.84478704,45.59397001,"9430 NW Kaiser Rd, Portland, OR 97231",5750000,FOREST PARK
14617,NW,Cedar,St,14617 NW Cedar St,Portland,97231,-122.82669897,45.60146754,"14617 NW Cedar St, Portland, OR 97231",1350000,FOREST PARK
11411,NW,Brooks,Rd,11411 NW Brooks Rd,Portland,97231,-122.85695178,45.60578724,"11411 NW Brooks Rd, Portland, OR 97231",1175000,FOREST PARK
5026,SE,76th,Ave,5026 SE 76th Ave,Portland,97206,-122.58530678,45.48615149,"5026 SE 76th Ave, Portland, OR 97206",400000,FOSTER-POWELL
4941,SE,74th,Ave,4941 SE 74th Ave,Portland,97206,-122.58709984,45.48709354,"4941 SE 74th Ave, Portland, OR 97206",439000,FOSTER-POWELL
4930,SE,71st,Ave,4930 SE 71st Ave,Portland,97206,-122.59024993,45.48735627,"4930 SE 71st Ave, Portland, OR 97206",595000,FOSTER-POWELL
4631,SE,75th,Ave,4631 SE 75th Ave,Portland,97206,-122.58610742,45.48924299,"4631 SE 75th Ave, Portland, OR 97206",424000,FOSTER-POWELL
7523,SE,Holgate,Blvd,7523 SE Holgate Blvd,Portland,97206,-122.58530737,45.49028176,"7523 SE Holgate Blvd, Portland, OR 97206",399900,FOSTER-POWELL
4404,SE,64th,Ave,4404 SE 64th Ave,Portland,97206,-122.59735250,45.49086699,"4404 SE 64th Ave, Portland, OR 97206",579900,FOSTER-POWELL
7006,SE,Mall,St,7006 SE Mall St,Portland,97206,-122.59096524,45.49097880,"7006 SE Mall St, Portland, OR 97206",429000,FOSTER-POWELL
4365,SE,67th,Ave,4365 SE 67th Ave,Portland,97206,-122.59431750,45.49098898,"4365 SE 67th Ave, Portland, OR 97206",475000,FOSTER-POWELL
4317,SE,79th,Ave,4317 SE 79th Ave,Portland,97206,-122.58258753,45.49129300,"4317 SE 79th Ave, Portland, OR 97206",365000,FOSTER-POWELL
4305,SE,65th,Ave,4305 SE 65th Ave,Portland,97206,-122.59637752,45.49142401,"4305 SE 65th Ave, Portland, OR 97206",399000,FOSTER-POWELL
6911,SE,Cora,St,6911 SE Cora St,Portland,97206,-122.59208800,45.49174327,"6911 SE Cora St, Portland, OR 97206",394000,FOSTER-POWELL
4135,SE,65th,Ave,4135 SE 65th Ave,Portland,97206,-122.59637207,45.49240947,"4135 SE 65th Ave, Portland, OR 97206",559000,FOSTER-POWELL
4127,SE,67th,Ave,4127 SE 67th Ave,Portland,97206,-122.59430040,45.49264374,"4127 SE 67th Ave, Portland, OR 97206",398000,FOSTER-POWELL
4118,SE,76th,Ave,4118 SE 76th Ave,Portland,97206,-122.58471536,45.49268988,"4118 SE 76th Ave, Portland, OR 97206",425000,FOSTER-POWELL
7132,SE,Gladstone,St,7132 SE Gladstone St,Portland,97206,-122.58962154,45.49310491,"7132 SE Gladstone St, Portland, OR 97206",665000,FOSTER-POWELL
4030,SE,73rd,Ave,4030 SE 73rd Ave,Portland,97206,-122.58798254,45.49330201,"4030 SE 73rd Ave, Portland, OR 97206",359000,FOSTER-POWELL
4011,SE,65th,Ave,4011 SE 65th Ave,Portland,97206,-122.59635195,45.49366315,"4011 SE 65th Ave, Portland, OR 97206",444000,FOSTER-POWELL
3830,SE,68th,Ave,3830 SE 68th Ave,Portland,97206,-122.59320899,45.49449811,"3830 SE 68th Ave, Portland, OR 97206",425000,FOSTER-POWELL
5729,SE,Francis,St,5729 SE Francis St,Portland,97206,-122.60376985,45.49479068,"5729 SE Francis St, Portland, OR 97206",364999,FOSTER-POWELL
3813,SE,67th,Ave,3813 SE 67th Ave,Portland,97206,-122.59432219,45.49494734,"3813 SE 67th Ave, Portland, OR 97206",550000,FOSTER-POWELL
6020,SE,Bush,St,6020 SE Bush St,Portland,97206,-122.60119460,45.49512005,"6020 SE Bush St, Portland, OR 97206",1195000,FOSTER-POWELL
7475,SE,Rhone,St,7475 SE Rhone St,Portland,97206,-122.58610298,45.49569748,"7475 SE Rhone St, Portland, OR 97206",749900,FOSTER-POWELL
3630,SE,64th,Ave,3630 SE 64th Ave,Portland,97206,-122.59731688,45.49591595,"3630 SE 64th Ave, Portland, OR 97206",519000,FOSTER-POWELL
3707,SE,60th,Ave,3707 SE 60th Ave,Portland,97206,-122.60178745,45.49595501,"3707 SE 60th Ave, Portland, OR 97206",535000,FOSTER-POWELL
3543,SE,64th,Ave,3543 SE 64th Ave,Portland,97206,-122.59735166,45.49669480,"3543 SE 64th Ave, Portland, OR 97206",499950,FOSTER-POWELL
8108,SE,Rhine,St,8108 SE Rhine St,Portland,97206,-122.57956200,45.49683440,"8108 SE Rhine St, Portland, OR 97206",329900,FOSTER-POWELL
3530,SE,70th,Ave,3530 SE 70th Ave,Portland,97206,-122.59115249,45.49686600,"3530 SE 70th Ave, Portland, OR 97206",449000,FOSTER-POWELL
3519,SE,64th,Ave,3519 SE 64th Ave,Portland,97206,-122.59734051,45.49712403,"3519 SE 64th Ave, Portland, OR 97206",385000,FOSTER-POWELL
3503,SE,73rd,Ave,3503 SE 73rd Ave,Portland,97206,-122.58801866,45.49722759,"3503 SE 73rd Ave, Portland, OR 97206",369900,FOSTER-POWELL
353,SE,Ankeny,Cir,353 SE Ankeny Cir,Portland,97233,-122.50190199,45.52022603,"353 SE Ankeny Cir, Portland, OR 97233",965888,GLENFAIR
300,SE,148th,Ave,300 SE 148th Ave,Portland,97233,-122.51068421,45.52050472,"300 SE 148th Ave, Portland, OR 97233",6000000,GLENFAIR
205,NE,156th,Ave,205 NE 156th Ave,Portland,97230,-122.50288401,45.52457397,"205 NE 156th Ave, Portland, OR 97230",399000,GLENFAIR
1903,SW,13th,Ave,1903 SW 13th Ave,Portland,97201,-122.68999399,45.51216502,"1903 SW 13th Ave, Portland, OR 97201",820000,GOOSE HOLLOW
1517,SW,College,St,1517 SW College St,Portland,97201,-122.69256497,45.51221041,"1517 SW College St, Portland, OR 97201",1225000,GOOSE HOLLOW
1439,SW,Montgomery,St,1439 SW Montgomery St,Portland,97201,-122.69116712,45.51406755,"1439 SW Montgomery St, Portland, OR 97201",275000,GOOSE HOLLOW
1132,SW,19th,Ave,1132 SW 19th Ave,Portland,97205,-122.69313058,45.51929635,"1132 SW 19th Ave, Portland, OR 97205",499000,GOOSE HOLLOW
2814,NE,Schuyler,St,2814 NE Schuyler St,Portland,97212,-122.63631100,45.53568251,"2814 NE Schuyler St, Portland, OR 97212",1099000,GRANT PARK
3543,NE,Schuyler,St,3543 NE Schuyler St,Portland,97212,-122.62722435,45.53579248,"3543 NE Schuyler St, Portland, OR 97212",834900,GRANT PARK
1916,NE,28th,Ave,1916 NE 28th Ave,Portland,97212,-122.63667846,45.53673159,"1916 NE 28th Ave, Portland, OR 97212",785000,GRANT PARK
3552,NE,US Grant,Pl,3552 NE US Grant Pl,Portland,97212,-122.62704103,45.53774253,"3552 NE Us Grant Pl, Portland, OR 97212",699900,GRANT PARK
2504,NE,32nd,Pl,2504 NE 32nd Pl,Portland,97212,-122.63149250,45.54022101,"2504 NE 32nd Pl, Portland, OR 97212",700000,GRANT PARK
2525,NE,42nd,Ave,2525 NE 42nd Ave,Portland,97213,-122.61994039,45.54101076,"2525 NE 42nd Ave, Portland, OR 97213",889000,GRANT PARK
2643,NE,43rd,Ave,2643 NE 43rd Ave,Portland,97213,-122.61893850,45.54195640,"2643 NE 43rd Ave, Portland, OR 97213",699000,GRANT PARK
189,N,Lotus Beach,Dr,189 N Lotus Beach Dr,Portland,97217,-122.66841293,45.60722733,"189 N Lotus Beach Dr, Portland, OR 97217",949000,HAYDEN ISLAND
1627,N,Jantzen,Ave,1627 N Jantzen Ave,Portland,97217,-122.68226101,45.60916477,"1627 N Jantzen Ave, Portland, OR 97217",549000,HAYDEN ISLAND
1677,N,Jantzen,Ave,1677 N Jantzen Ave,Portland,97217,-122.68376104,45.60973570,"1677 N Jantzen Ave, Portland, OR 97217",599000,HAYDEN ISLAND
540,N,Hayden Bay,Dr,540 N Hayden Bay Dr,Portland,97217,-122.67287437,45.60990481,"540 N Hayden Bay Dr, Portland, OR 97217",500000,HAYDEN ISLAND
530,N,Hayden Bay,Dr,530 N Hayden Bay Dr,Portland,97217,-122.67283338,45.60990942,"530 N Hayden Bay Dr, Portland, OR 97217",498000,HAYDEN ISLAND
232,N,Hayden Bay,Dr,232 N Hayden Bay Dr,Portland,97217,-122.67019208,45.61020647,"232 N Hayden Bay Dr, Portland, OR 97217",425000,HAYDEN ISLAND
227,N,Hayden Bay,Dr,227 N Hayden Bay Dr,Portland,97217,-122.67064260,45.61021355,"227 N Hayden Bay Dr, Portland, OR 97217",319000,HAYDEN ISLAND
1727,N,Jantzen,Ave,1727 N Jantzen Ave,Portland,97217,-122.68541462,45.61036363,"1727 N Jantzen Ave, Portland, OR 97217",300000,HAYDEN ISLAND
149,N,Hayden Bay,Dr,149 N Hayden Bay Dr,Portland,97217,-122.66964139,45.61067724,"149 N Hayden Bay Dr, Portland, OR 97217",335000,HAYDEN ISLAND
406,N,Hayden Island,Dr,406 N Hayden Island Dr,Portland,97217,-122.67220231,45.61092899,"406 N Hayden Island Dr, Portland, OR 97217",244000,HAYDEN ISLAND
1801,N,Jantzen,Ave,1801 N Jantzen Ave,Portland,97217,-122.68718077,45.61103418,"1801 N Jantzen Ave, Portland, OR 97217",455000,HAYDEN ISLAND
1951,N,Jantzen,Ave,1951 N Jantzen Ave,Portland,97217,-122.69021242,45.61235546,"1951 N Jantzen Ave, Portland, OR 97217",540000,HAYDEN ISLAND
1975,N,Jantzen,Ave,1975 N Jantzen Ave,Portland,97217,-122.69022340,45.61236552,"1975 N Jantzen Ave, Portland, OR 97217",575000,HAYDEN ISLAND
1995,N,Jantzen,Ave,1995 N Jantzen Ave,Portland,97217,-122.69022717,45.61237608,"1995 N Jantzen Ave, Portland, OR 97217",224000,HAYDEN ISLAND
12232,N,Westshore,Dr,12232 N Westshore Dr,Portland,97217,-122.69213506,45.61345735,"12232 N Westshore Dr, Portland, OR 97217",86500,HAYDEN ISLAND
2055,N,Middle Shore,St,2055 N Middle Shore St,Portland,97217,-122.69151899,45.61406914,"2055 N Middle Shore St, Portland, OR 97217",142500,HAYDEN ISLAND
12470,N,South Shore,Ave,12470 N South Shore Ave,Portland,97217,-122.68969056,45.61442869,"12470 N South Shore Ave, Portland, OR 97217",99999,HAYDEN ISLAND
12910,N,Image Canoe,Ave,12910 N Image Canoe Ave,Portland,97217,-122.68956844,45.61942204,"12910 N Image Canoe Ave, Portland, OR 97217",99985,HAYDEN ISLAND
3820,SW,Dakota,St,3820 SW Dakota St,Portland,97221,-122.71689747,45.47793752,"3820 SW Dakota St, Portland, OR 97221",599000,HAYHURST
3105,SW,Carolina,St,3105 SW Carolina St,Portland,97239,-122.70872721,45.47829325,"3105 SW Carolina St, Portland, OR 97239",659000,HAYHURST
6310,SW,35th,Ave,6310 SW 35th Ave,Portland,97221,-122.71282252,45.47847602,"6310 SW 35th Ave, Portland, OR 97221",525000,HAYHURST
5890,SW,54th,Ave,5890 SW 54th Ave,Portland,97221,-122.73279249,45.48180099,"5890 SW 54th Ave, Portland, OR 97221",639900,HAYHURST
3707,SW,Cullen,Blvd,3707 SW Cullen Blvd,Portland,97221,-122.71534556,45.48228790,"3707 SW Cullen Blvd, Portland, OR 97221",829000,HAYHURST
6323,SW,Flower,St,6323 SW Flower St,Portland,97221,-122.74222439,45.48346375,"6323 SW Flower St, Portland, OR 97221",975000,HAYHURST
4309,SW,Cullen,Blvd,4309 SW Cullen Blvd,Portland,97221,-122.72094584,45.48395359,"4309 SW Cullen Blvd, Portland, OR 97221",599900,HAYHURST
13007,SE,Division,St,13007 SE Division St,Portland,97236,-122.52973602,45.50408747,"13007 SE Division St, Portland, OR 97236",499950,HAZELWOOD
2336,SE,130th,Ave,2336 SE 130th Ave,Portland,97233,-122.52993467,45.50516446,"2336 SE 130th Ave, Portland, OR 97233",180000,HAZELWOOD
2246,SE,139th,Ave,2246 SE 139th Ave,Portland,97233,-122.52095254,45.50608299,"2246 SE 139th Ave, Portland, OR 97233",419900,HAZELWOOD
10020,SE,Grant,St,10020 SE Grant St,Portland,97216,-122.56021656,45.50666474,"10020 SE Grant St, Portland, OR 97216",499999,HAZELWOOD
2140,SE,104th,Dr,2140 SE 104th Dr,Portland,97216,-122.55671494,45.50718584,"2140 SE 104th Dr, Portland, OR 97216",615000,HAZELWOOD
13946,SE,Lincoln,St,13946 SE Lincoln St,Portland,97233,-122.51987396,45.50784252,"13946 SE Lincoln St, Portland, OR 97233",498000,HAZELWOOD
2025,SE,139th,Ave,2025 SE 139th Ave,Portland,97233,-122.52100879,45.50843235,"2025 SE 139th Ave, Portland, OR 97233",495000,HAZELWOOD
1920,SE,135th,Ave,1920 SE 135th Ave,Portland,97233,-122.52474820,45.50906070,"1920 SE 135th Ave, Portland, OR 97233",396000,HAZELWOOD
10234,SE,Market,Dr,10234 SE Market Dr,Portland,97216,-122.55758724,45.51117609,"10234 SE Market Dr, Portland, OR 97216",525000,HAZELWOOD
10920,SE,Clay,St,10920 SE Clay St,Portland,97216,-122.55146342,45.51218145,"10920 SE Clay St, Portland, OR 97216",599900,HAZELWOOD
10808,SE,Clay,St,10808 SE Clay St,Portland,97216,-122.55253497,45.51223246,"10808 SE Clay St, Portland, OR 97216",599000,HAZELWOOD
1431,SE,135th,Ave,1431 SE 135th Ave,Portland,97233,-122.52483747,45.51268399,"1431 SE 135th Ave, Portland, OR 97233",399900,HAZELWOOD
1307,SE,141st,Ave,1307 SE 141st Ave,Portland,97233,-122.51836907,45.51365897,"1307 SE 141st Ave, Portland, OR 97233",424900,HAZELWOOD
12851,SE,Stark,St,12851 SE Stark St,Portland,97233,-122.53106598,45.51909745,"12851 SE Stark St, Portland, OR 97233",185000,HAZELWOOD
363,SE,146th,Ave,363 SE 146th Ave,Portland,97233,-122.51501606,45.52007788,"363 SE 146th Ave, Portland, OR 97233",250000,HAZELWOOD
12062,SE,Pine,St,12062 SE Pine St,Portland,97216,-122.53902342,45.52036529,"12062 SE Pine St, Portland, OR 97216",249900,HAZELWOOD
12060,SE,Pine,St,12060 SE Pine St,Portland,97216,-122.53902342,45.52036529,"12060 SE Pine St, Portland, OR 97216",254900,HAZELWOOD
12064,SE,Pine,St,12064 SE Pine St,Portland,97216,-122.53902342,45.52036529,"12064 SE Pine St, Portland, OR 97216",259900,HAZELWOOD
10121,SE,Pine,St,10121 SE Pine St,Portland,97216,-122.55918098,45.52042749,"10121 SE Pine St, Portland, OR 97216",424900,HAZELWOOD
239,SE,136th,Ave,239 SE 136th Ave,Portland,97233,-122.52359335,45.52059328,"239 SE 136th Ave, Portland, OR 97233",575000,HAZELWOOD
11821,SE,Ash,St,11821 SE Ash St,Portland,97216,-122.54131403,45.52109754,"11821 SE Ash St, Portland, OR 97216",450000,HAZELWOOD
11919,SE,Ash,St,11919 SE Ash St,Portland,97216,-122.53997695,45.52110407,"11919 SE Ash St, Portland, OR 97216",276000,HAZELWOOD
136,SE,141st,Ave,136 SE 141st Ave,Portland,97233,-122.51837217,45.52123005,"136 SE 141st Ave, Portland, OR 97233",350000,HAZELWOOD
127,SE,106th,Ave,127 SE 106th Ave,Portland,97216,-122.55390943,45.52127540,"127 SE 106th Ave, Portland, OR 97216",550000,HAZELWOOD
105,SE,143rd,Ave,105 SE 143rd Ave,Portland,97233,-122.51582751,45.52164001,"105 SE 143rd Ave, Portland, OR 97233",399900,HAZELWOOD
14,SE,105th,Ave,14 SE 105th Ave,Portland,97216,-122.55547308,45.52210588,"14 SE 105th Ave, Portland, OR 97216",315000,HAZELWOOD
12804,E,Burnside,St,12804 E Burnside St,Portland,97233,-122.53162648,45.52235168,"12804 E Burnside St, Portland, OR 97233",392000,HAZELWOOD
10827,E,Burnside,St,10827 E Burnside St,Portland,97216,-122.55150198,45.52266747,"10827 E Burnside St, Portland, OR 97216",372000,HAZELWOOD
9923,E,Burnside,St,9923 E Burnside St,Portland,97216,-122.56185900,45.52274747,"9923 E Burnside St, Portland, OR 97216",620000,HAZELWOOD
101,NE,125th,Ave,101 NE 125th Ave,Portland,97230,-122.53465855,45.52356014,"101 NE 125th Ave, Portland, OR 97230",420000,HAZELWOOD
13702,NE,Couch,St,13702 NE Couch St,Portland,97230,-122.52228501,45.52397249,"13702 NE Couch St, Portland, OR 97230",459900,HAZELWOOD
13727,NE,Couch,St,13727 NE Couch St,Portland,97230,-122.52180297,45.52402751,"13727 NE Couch St, Portland, OR 97230",479000,HAZELWOOD
205,NE,103rd,Ave,205 NE 103rd Ave,Portland,97220,-122.55738164,45.52410429,"205 NE 103rd Ave, Portland, OR 97220",475000,HAZELWOOD
325,NE,114th,Ave,325 NE 114th Ave,Portland,97220,-122.54507851,45.52464953,"325 NE 114th Ave, Portland, OR 97220",499000,HAZELWOOD
10931,NE,Everett,St,10931 NE Everett St,Portland,97220,-122.54998896,45.52470750,"10931 NE Everett St, Portland, OR 97220",499900,HAZELWOOD
13618,NE,Davis,Ct,13618 NE Davis Ct,Portland,97230,-122.52284601,45.52472250,"13618 NE Davis Ct, Portland, OR 97230",449900,HAZELWOOD
243,NE,143rd,Ave,243 NE 143rd Ave,Portland,97230,-122.51579524,45.52474320,"243 NE 143rd Ave, Portland, OR 97230",449900,HAZELWOOD
255,NE,106th,Ave,255 NE 106th Ave,Portland,97220,-122.55403298,45.52476495,"255 NE 106th Ave, Portland, OR 97220",499000,HAZELWOOD
11020,NE,Glisan,St,11020 NE Glisan St,Portland,97220,-122.54960197,45.52624298,"11020 NE Glisan St, Portland, OR 97220",395000,HAZELWOOD
11781,NE,Glisan,St,11781 NE Glisan St,Portland,97220,-122.54118813,45.52631141,"11781 NE Glisan St, Portland, OR 97220",650000,HAZELWOOD
540,NE,125th,Ave,540 NE 125th Ave,Portland,97230,-122.53450616,45.52705346,"540 NE 125th Ave, Portland, OR 97230",399900,HAZELWOOD
620,NE,113th,Ave,620 NE 113th Ave,Portland,97220,-122.54658248,45.52732600,"620 NE 113th Ave, Portland, OR 97220",420000,HAZELWOOD
10831,NE,Oregon,St,10831 NE Oregon St,Portland,97220,-122.55118196,45.52811750,"10831 NE Oregon St, Portland, OR 97220",589900,HAZELWOOD
815,NE,110th,Ave,815 NE 110th Ave,Portland,97220,-122.54945076,45.52835681,"815 NE 110th Ave, Portland, OR 97220",455000,HAZELWOOD
911,NE,114th,Ave,911 NE 114th Ave,Portland,97220,-122.54466411,45.52930790,"911 NE 114th Ave, Portland, OR 97220",487500,HAZELWOOD
12722,NE,Holladay,St,12722 NE Holladay St,Portland,97230,-122.53212931,45.52997313,"12722 NE Holladay St, Portland, OR 97230",449500,HAZELWOOD
12640,NE,Hassalo,St,12640 NE Hassalo St,Portland,97230,-122.53298720,45.53062265,"12640 NE Hassalo St, Portland, OR 97230",399900,HAZELWOOD
1118,NE,118th,Ave,1118 NE 118th Ave,Portland,97220,-122.54142182,45.53086472,"1118 NE 118th Ave, Portland, OR 97220",399000,HAZELWOOD
1119,NE,120th,Ave,1119 NE 120th Ave,Portland,97220,-122.53906466,45.53093584,"1119 NE 120th Ave, Portland, OR 97220",492000,HAZELWOOD
1221,NE,136th,Ave,1221 NE 136th Ave,Portland,97230,-122.52302547,45.53179779,"1221 NE 136th Ave, Portland, OR 97230",629000,HAZELWOOD
11615,NE,Clackamas,St,11615 NE Clackamas St,Portland,97220,-122.54323474,45.53261938,"11615 NE Clackamas St, Portland, OR 97220",499999,HAZELWOOD
4175,SW,Council Crest,Dr,4175 SW Council Crest Dr,Portland,97239,-122.70028001,45.49331249,"4175 SW Council Crest Dr, Portland, OR 97239",874900,HEALY HEIGHTS
7250,SW,13th,Ave,7250 SW 13th Ave,Portland,97219,-122.69225928,45.47208251,"7250 SW 13th Ave, Portland, OR 97219",849000,HILLSDALE
7227,SW,5th,Ave,7227 SW 5th Ave,Portland,97219,-122.68351226,45.47209886,"7227 SW 5th Ave, Portland, OR 97219",600000,HILLSDALE
711,SW,Caldew,Dr,711 SW Caldew Dr,Portland,97219,-122.68573900,45.47236326,"711 SW Caldew Dr, Portland, OR 97219",645000,HILLSDALE
7200,SW,8th,Ave,7200 SW 8th Ave,Portland,97219,-122.68677525,45.47241263,"7200 SW 8th Ave, Portland, OR 97219",765000,HILLSDALE
1254,SW,Texas,St,1254 SW Texas St,Portland,97219,-122.69121791,45.47366803,"1254 SW Texas St, Portland, OR 97219",750000,HILLSDALE
255,SW,California,St,255 SW California St,Portland,97219,-122.68126088,45.47445514,"255 SW California St, Portland, OR 97219",1150000,HILLSDALE
6704,SW,15th,Ave,6704 SW 15th Ave,Portland,97219,-122.69550853,45.47569784,"6704 SW 15th Ave, Portland, OR 97219",645000,HILLSDALE
6601,SW,Parkhill,Dr,6601 SW Parkhill Dr,Portland,97239,-122.68138527,45.47612590,"6601 SW Parkhill Dr, Portland, OR 97239",643000,HILLSDALE
6510,SW,Capitol,Hwy,6510 SW Capitol Hwy,Portland,97239,-122.70056390,45.47745988,"6510 SW Capitol Hwy, Portland, OR 97239",595000,HILLSDALE
816,SW,Terwilliger,Pl,816 SW Terwilliger Pl,Portland,97239,-122.68680132,45.47870522,"816 SW Terwilliger Pl, Portland, OR 97239",850000,HILLSDALE
6171,SW,18th,Dr,6171 SW 18th Dr,Portland,97239,-122.69743955,45.47890890,"6171 SW 18th Dr, Portland, OR 97239",549100,HILLSDALE
6014,SW,18th,Dr,6014 SW 18th Dr,Portland,97239,-122.69704828,45.47973532,"6014 SW 18th Dr, Portland, OR 97239",1185000,HILLSDALE
2549,SW,Beaverton Hillsdale,Hwy,2549 SW Beaverton Hillsdale Hwy,Portland,97239,-122.70356102,45.48079299,"2549 SW Beaverton Hillsdale Hwy, Portland, OR 97239",249900,HILLSDALE
1625,SW,Westwood,Ct,1625 SW Westwood Ct,Portland,97239,-122.69447236,45.48215245,"1625 SW Westwood Ct, Portland, OR 97239",995000,HILLSDALE
1933,SW,Sunset,Blvd,1933 SW Sunset Blvd,Portland,97239,-122.69762068,45.48263965,"1933 SW Sunset Blvd, Portland, OR 97239",950000,HILLSDALE
1404,SW,Westwood,Ct,1404 SW Westwood Ct,Portland,97239,-122.69269346,45.48315677,"1404 SW Westwood Ct, Portland, OR 97239",874900,HILLSDALE
2140,SW,Boundary,St,2140 SW Boundary St,Portland,97239,-122.69969906,45.48474463,"2140 SW Boundary St, Portland, OR 97239",959000,HILLSDALE
2200,SW,Mitchell,St,2200 SW Mitchell St,Portland,97239,-122.69963293,45.48569858,"2200 SW Mitchell St, Portland, OR 97239",995000,HILLSDALE
1530,SW,Mitchell,Ln,1530 SW Mitchell Ln,Portland,97239,-122.69383223,45.48580331,"1530 SW Mitchell Ln, Portland, OR 97239",1205000,HILLSDALE
1550,SW,Mitchell,St,1550 SW Mitchell St,Portland,97239,-122.69386668,45.48649096,"1550 SW Mitchell St, Portland, OR 97239",1175000,HILLSDALE
4721,SW,Dosch Park,Ln,4721 SW Dosch Park Ln,Portland,97239,-122.70642503,45.48784145,"4721 SW Dosch Park Ln, Portland, OR 97239",1090000,HILLSDALE
3146,SW,Fairmount,Blvd,3146 SW Fairmount Blvd,Portland,97239,-122.69655601,45.48799363,"3146 SW Fairmount Blvd, Portland, OR 97239",1076000,HILLSDALE
3135,SW,Fairmount,Blvd,3135 SW Fairmount Blvd,Portland,97239,-122.69533896,45.48826214,"3135 SW Fairmount Blvd, Portland, OR 97239",2400000,HILLSDALE
4327,SW,Altadena,Ave,4327 SW Altadena Ave,Portland,97239,-122.70839143,45.49210315,"4327 SW Altadena Ave, Portland, OR 97239",789000,HILLSDALE
4331,SW,Washouga,Ave,4331 SW Washouga Ave,Portland,97239,-122.70626796,45.49216186,"4331 SW Washouga Ave, Portland, OR 97239",1199000,HILLSDALE
4424,NW,Barnes,Rd,4424 NW Barnes Rd,Portland,97210,-122.72263404,45.51986598,"4424 NW Barnes Rd, Portland, OR 97210",350000,HILLSIDE
2931,NW,Verde Vista,Ter,2931 NW Verde Vista Ter,Portland,97210,-122.71081011,45.52478012,"2931 NW Verde Vista Ter, Portland, OR 97210",1529000,HILLSIDE
424,NW,Macleay,Blvd,424 NW Macleay Blvd,Portland,97210,-122.70761426,45.52639662,"424 NW Macleay Blvd, Portland, OR 97210",2495000,HILLSIDE
3067,NW,Greenbriar,Ter,3067 NW Greenbriar Ter,Portland,97210,-122.71370388,45.52903352,"3067 NW Greenbriar Ter, Portland, OR 97210",1375000,HILLSIDE
3001,NW,Luray,Circus,3001 NW Luray Circus,Portland,97210,-122.71213092,45.53070942,"3001 NW Luray Circus, Portland, OR 97210",5995000,HILLSIDE
731,SW,Bancroft,Ter,731 SW Bancroft Ter,Portland,97239,-122.68492419,45.49251311,"731 SW Bancroft Ter, Portland, OR 97239",1299900,HOMESTEAD
1225,SW,Curry,St,1225 SW Curry St,Portland,97239,-122.69293964,45.49773994,"1225 SW Curry St, Portland, OR 97239",649000,HOMESTEAD
3435,SW,11th,Ave,3435 SW 11th Ave,Portland,97239,-122.69133551,45.49781345,"3435 SW 11th Ave, Portland, OR 97239",565000,HOMESTEAD
3360,SW,10th,Ave,3360 SW 10th Ave,Portland,97239,-122.69024536,45.49830781,"3360 SW 10th Ave, Portland, OR 97239",499000,HOMESTEAD
3323,SE,28th,Pl,3323 SE 28th Pl,Portland,97202,-122.63662750,45.49869899,"3323 SE 28th Pl, Portland, OR 97202",659900,HOSFORD-ABERNETHY
3234,SE,24th,Ave,3234 SE 24th Ave,Portland,97202,-122.64162253,45.49934700,"3234 SE 24th Ave, Portland, OR 97202",599000,HOSFORD-ABERNETHY
3160,SE,24th,Ave,3160 SE 24th Ave,Portland,97202,-122.64156828,45.50008531,"3160 SE 24th Ave, Portland, OR 97202",1100000,HOSFORD-ABERNETHY
3115,SE,20th,Ave,3115 SE 20th Ave,Portland,97202,-122.64569052,45.50031280,"3115 SE 20th Ave, Portland, OR 97202",585000,HOSFORD-ABERNETHY
2139,SE,Tibbetts,St,2139 SE Tibbetts St,Portland,97202,-122.64366998,45.50064795,"2139 SE Tibbetts St, Portland, OR 97202",950000,HOSFORD-ABERNETHY
2207,SE,Tibbetts,St,2207 SE Tibbetts St,Portland,97202,-122.64335775,45.50065328,"2207 SE Tibbetts St, Portland, OR 97202",731000,HOSFORD-ABERNETHY
2726,SE,Brooklyn,St,2726 SE Brooklyn St,Portland,97202,-122.63809526,45.50120481,"2726 SE Brooklyn St, Portland, OR 97202",550000,HOSFORD-ABERNETHY
2837,SE,26th,Ave,2837 SE 26th Ave,Portland,97202,-122.63965010,45.50212845,"2837 SE 26th Ave, Portland, OR 97202",789900,HOSFORD-ABERNETHY
2736,SE,20th,Ave,2736 SE 20th Ave,Portland,97202,-122.64560829,45.50282687,"2736 SE 20th Ave, Portland, OR 97202",449989,HOSFORD-ABERNETHY
